Name,Source,lat_lims,lon_lims,ROI Dict
20251016UTa-NEZ-East,20251016UTa,"[-15, 0]","[262.5, 277.5]","ROI={'Hot Spot': [82, 84, 267.0, 2.0], 'Gyre': [85, 87, 270.0, 3.0], 'Cloud Plume': [82, 84, 262.0, 2.0], 'Reference': [75, 77, 270.0, 5.0]}"
20251016UTa-NEZ-West,20251016UTa,"[-15, 0]","[287.5, 302.5]","ROI={'Hot Spot': [81, 82, 297.0, 2.0], 'Gyre': [83, 86, 299.0, 4.0], 'Cloud Plume': [81, 83, 293.0, 2.0], 'Reference': [75, 77, 295.0, 5.0]}"
20251016UTb-NEZ-East,20251016UTb,"[-15, 0]","[262.5, 277.5]","ROI={'Hot Spot': [82, 84, 267.0, 2.0], 'Gyre': [85, 87, 270.0, 3.0], 'Cloud Plume': [82, 84, 262.0, 2.0], 'Reference': [75, 77, 270.0, 5.0]}"
20251016UTb-NEZ-West,20251016UTb,"[-15, 0]","[287.5, 302.5]","ROI={'Hot Spot': [81, 82, 297.0, 2.0], 'Gyre': [83, 86, 299.0, 4.0], 'Cloud Plume': [81, 83, 293.0, 2.0], 'Reference': [75, 77, 295.0, 5.0]}"
20251016UTc-NEZ-East,20251016UTc,"[-15, 0]","[7.5, 22.5]","ROI={'Hot Spot': [82, 83, 14.0, 2.0], 'Gyre': [84, 86, 15.0, 3.0], 'Cloud Plume': [82, 84, 5.0, 3.0], 'Reference': [76, 78, 15, 4.0]}"
20251016UTc-NEZ-West,20251016UTc,"[-15, 0]","[37.5, 52.5]","ROI={'Hot Spot': [83, 84, 53.0, 2.0], 'Gyre': [84, 85, 53.0, 3.0], 'Cloud Plume': [84, 86, 34.0, 3.0], 'Reference': [76, 78, 45, 4.0]}"
20251016UTc-SEZ-SED,20251016UTc,"[0, 15]","[52.5, 67.5]","ROI={'Hot Spot': [98, 100, 61.0, 2.0], 'Gyre': [95, 97, 63.0, 4.0], 'Cloud Plume': [96, 98, 53.0, 2.0], 'Reference': [104, 105, 60, 8.0]}"
20251016UTc-SEZ-SED-Ext,20251016UTc,"[-5, 15]","[35.0, 65.0]","ROI={'Hot Spot': [98, 100, 61.0, 2.0], 'Gyre': [95, 97, 63.0, 4.0], 'Cloud Plume': [96, 98, 53.0, 2.0], 'Reference': [102, 103, 55, 8.0]}"
20251016UTd-NEZ-East,20251016UTd,"[-15, 0]","[7.5, 22.5]","ROI={'Hot Spot': [82, 83, 14.0, 2.0], 'Gyre': [84, 86, 15.0, 3.0], 'Cloud Plume': [82, 84, 5.0, 3.0], 'Reference': [76, 78, 15, 4.0]}"
20251016UTd-NEZ-West,20251016UTd,"[-15, 0]","[37.5, 52.5]","ROI={'Hot Spot': [83, 84, 53.0, 2.0], 'Gyre': [84, 85, 53.0, 3.0], 'Cloud Plume': [84, 86, 34.0, 3.0], 'Reference': [76, 78, 45, 4.0]}"
20251016UTd-SEZ-SED,20251016UTd,"[0, 15]","[52.5, 67.5]","ROI={'Hot Spot': [98, 100, 61.0, 2.0], 'Gyre': [95, 97, 63.0, 4.0], 'Cloud Plume': [96, 98, 53.0, 2.0], 'Reference': [104, 105, 60, 8.0]}"
20251016UTe-NEZ-East,20251016UTe,"[-15, 0]","[82.5, 97.5]","ROI={'Hot Spot': [83, 85, 96.0, 3.0], 'Gyre': [85, 87, 98.0, 4.0], 'Cloud Plume': [82, 84, 79.0, 3.0], 'Reference': [76, 78, 90.0, 4.0]}"
20251016UTe-NEZ-West,20251016UTe,"[-15, 0]","[112.5, 127.5]","ROI={'Hot Spot': [82, 84, 125.0, 3.0], 'Gyre': [84, 86, 126.0, 3.0], 'Cloud Plume': [82, 84, 113.0, 3.0], 'Reference': [76, 78, 120.0, 4.0]}"
20251016UTe-SEZ-SED,20251016UTe,"[0, 15]","[52.5, 67.5]","ROI={'Hot Spot': [98, 100, 61.0, 2.0], 'Gyre': [95, 97, 63.0, 4.0], 'Cloud Plume': [96, 98, 53.0, 2.0], 'Reference': [104, 105, 60, 8.0]}"
20251016UTf-NEZ-East,20251016UTf,"[-15, 0]","[82.5, 97.5]","ROI={'Hot Spot': [83, 85, 96.0, 3.0], 'Gyre': [85, 87, 98.0, 4.0], 'Cloud Plume': [82, 84, 79.0, 3.0], 'Reference': [76, 78, 90.0, 4.0]}"
20251016UTf-NEZ-West,20251016UTf,"[-15, 0]","[112.5, 127.5]","ROI={'Hot Spot': [82, 84, 125.0, 3.0], 'Gyre': [84, 86, 126.0, 3.0], 'Cloud Plume': [82, 84, 113.0, 3.0], 'Reference': [76, 78, 120.0, 4.0]}"
20251016UTf-SEZ-SED,20251016UTf,"[0, 15]","[52.5, 67.5]","ROI={'Hot Spot': [98, 100, 61.0, 2.0], 'Gyre': [95, 97, 63.0, 4.0], 'Cloud Plume': [96, 98, 53.0, 2.0], 'Reference': [104, 105, 60, 8.0]}"
20251120UTa-NEZ,20251120UTa,"[-15, 0]","[52.5, 67.5]","ROI={'Hot Spot': [81, 82, 64, 2.0], 'Gyre': [83, 85, 64, 4.0], 'Cloud Plume': [84, 86, 55, 3.0], 'Reference': [76, 78, 60, 4.0]}"
20251120UTb-NEZ,20251120UTb,"[-15, 0]","[207.5, 222.5]","ROI={'Hot Spot': [81, 82, 215.0, 3.0], 'Gyre': [83, 85, 215.0, 4.0], 'Cloud Plume': [82, 84, 203.0, 3.0], 'Reference': [76, 78, 215.0, 4.0]}"
20251120UTc-NEZ,20251120UTc,"[-15, 0]","[332.5, 347.5]","ROI={'Hot Spot': [82, 83, 350, 2.0], 'Gyre': [83, 86, 340, 4.0], 'Cloud Plume': [82, 83, 332, 3.0], 'Reference': [75, 77, 340, 5.0]}"
20251221UTa-NEZ-East,20251221UTa,"[-15, 0]","[212.5, 227.5]","ROI={'Hot Spot': [82, 83, 225, 2.0], 'Gyre': [83, 85, 221, 3.0], 'Cloud Plume': [81, 82, 207, 2.0], 'Reference': [75, 77, 220, 5.0]}"
20251221UTa-NEZ-West,20251221UTa,"[-15, 0]","[272.5, 287.5]","ROI={'Hot Spot': [82, 83, 290, 2.0], 'Gyre': [85, 87, 275, 3.0], 'Cloud Plume': [81, 82, 270, 2.0], 'Reference': [75, 77, 280, 5.0]}"
20251221UTa-NEZ-West1,20251221UTa,"[-15, 0]","[272.5, 287.5]","ROI={'Hot Spot': [83, 84, 275, 2.0], 'Gyre': [86, 87, 276, 3.0], 'Cloud Plume': [82, 83, 271, 2.0], 'Reference': [75, 77, 280, 5.0]}"
20251221UTb-NEZ-East,20251221UTb,"[-15, 0]","[272.5, 287.5]","ROI={'Hot Spot': [83, 84, 275, 2.0], 'Gyre': [86, 87, 276, 3.0], 'Cloud Plume': [82, 83, 271, 2.0], 'Reference': [75, 77, 280, 5.0]}"
20251221UTb-NEZ-West,20251221UTb,"[-15, 0]","[297.5, 312.5]","ROI={'Hot Spot': [82, 83, 305, 2.0], 'Gyre': [84, 85, 307, 3.0], 'Cloud Plume': [84, 85, 296, 2.0], 'Reference': [75, 77, 305, 5.0]}"
20251221UTc-NEZ-East,20251221UTc,"[-15, 0]","[97.5, 112.5]","ROI={'Hot Spot': [81, 82, 104, 3.0], 'Gyre': [85, 86, 104, 3.0], 'Cloud Plume': [81, 82, 95, 2.0], 'Reference': [75, 77, 105, 5.0]}"
20251221UTc-NEZ-West,20251221UTc,"[-15, 0]","[132.5, 147.5]","ROI={'Hot Spot': [81, 82, 139, 2.0], 'Gyre': [84, 85, 139, 3.0], 'Cloud Plume': [81, 82, 133, 2.0], 'Reference': [75, 77, 140, 5.0]}"
